,tide
2013-01-11 11:00:00,-4.360341548919678
2013-01-12 11:00:00,-2.977468490600586
2013-01-13 11:00:00,-1.027251958847046
2013-01-14 11:00:00,1.028563380241394
2013-01-15 11:00:00,2.77122163772583
2013-01-16 11:00:00,3.9112794399261475
2013-01-17 11:00:00,4.319714069366455
2013-01-18 11:00:00,4.014819145202637
2013-01-19 11:00:00,3.125948190689087
2013-01-20 11:00:00,1.8511395454406738
2013-01-21 11:00:00,0.4163166880607605
2013-01-22 11:00:00,-0.9616823196411133
2013-01-23 11:00:00,-2.104787588119507
2013-01-24 11:00:00,-2.8895673751831055
2013-01-25 11:00:00,-3.2447333335876465
2013-01-26 11:00:00,-3.134885311126709
2013-01-27 11:00:00,-2.5457797050476074
2013-01-28 11:00:00,-1.4889689683914185
2013-01-29 11:00:00,-0.0322929210960865
2013-01-30 11:00:00,1.6583983898162842
2013-01-31 11:00:00,3.2985384464263916
2013-02-01 11:00:00,4.519844055175781
2013-02-02 11:00:00,4.954282283782959
2013-02-03 11:00:00,4.381302833557129
2013-02-04 11:00:00,2.8292770385742188
2013-02-05 11:00:00,0.6123464703559875
2013-02-06 11:00:00,-1.7411153316497803
2013-02-07 11:00:00,-3.647012710571289
2013-02-08 11:00:00,-4.650016784667969
2013-02-09 11:00:00,-4.559706211090088
2013-02-10 11:00:00,-3.4866995811462402
2013-02-11 11:00:00,-1.773510456085205
2013-02-12 11:00:00,0.13970768451690674
2013-02-13 11:00:00,1.8526577949523926
2013-02-14 11:00:00,3.0940167903900146
2013-02-15 11:00:00,3.743084669113159
2013-02-16 11:00:00,3.7993240356445312
2013-02-17 11:00:00,3.3333609104156494
2013-02-18 11:00:00,2.449077606201172
2013-02-19 11:00:00,1.2681572437286377
2013-02-20 11:00:00,-0.06977666914463043
2013-02-21 11:00:00,-1.405621886253357
2013-02-22 11:00:00,-2.5675160884857178
2013-02-23 11:00:00,-3.3863837718963623
2013-02-24 11:00:00,-3.715869426727295
2013-02-25 11:00:00,-3.454058885574341
2013-02-26 11:00:00,-2.568547010421753
2013-02-27 11:00:00,-1.1255463361740112
2013-02-28 11:00:00,0.684843897819519
2013-03-01 11:00:00,2.550903558731079
2013-03-02 11:00:00,4.060735702514648
2013-03-03 11:00:00,4.821572780609131
2013-03-04 11:00:00,4.567051887512207
2013-03-05 11:00:00,3.2718636989593506
2013-03-06 11:00:00,1.1964974403381348
2013-03-07 11:00:00,-1.1667349338531494
2013-03-08 11:00:00,-3.237391233444214
2013-03-09 11:00:00,-4.528440952301025
2013-03-10 11:00:00,-4.793191432952881
2013-03-11 11:00:00,-4.07935905456543
2013-03-12 11:00:00,-2.6748621463775635
2013-03-13 11:00:00,-0.9789205193519592
2013-03-14 11:00:00,0.6382079720497131
2013-03-15 11:00:00,1.9274429082870483
2013-03-16 11:00:00,2.778364896774292
2013-03-17 11:00:00,3.1766204833984375
2013-03-18 11:00:00,3.1427676677703857
2013-03-19 11:00:00,2.693952798843384
2013-03-20 11:00:00,1.8468530178070068
2013-03-21 11:00:00,0.6511346101760864
2013-03-22 11:00:00,-0.7751117944717407
2013-03-23 11:00:00,-2.2347521781921387
2013-03-24 11:00:00,-3.476144313812256
2013-03-25 11:00:00,-4.244543552398682
2013-03-26 11:00:00,-4.342213153839111
2013-03-27 11:00:00,-3.680433988571167
2013-03-28 11:00:00,-2.313483476638794
2013-03-29 11:00:00,-0.4492948651313782
2013-03-30 11:00:00,1.5688693523406982
2013-03-31 11:00:00,3.31636643409729
2013-04-01 11:00:00,4.386270046234131
2013-04-02 11:00:00,4.465875148773193
2013-04-03 11:00:00,3.4925880432128906
2013-04-04 11:00:00,1.6658623218536377
2013-04-05 11:00:00,-0.5812841057777405
2013-04-06 11:00:00,-2.7035818099975586
2013-04-07 11:00:00,-4.209660053253174
2013-04-08 11:00:00,-4.809037208557129
2013-04-09 11:00:00,-4.4809184074401855
2013-04-10 11:00:00,-3.4404823780059814
2013-04-11 11:00:00,-2.0258007049560547
2013-04-12 11:00:00,-0.5636410713195801
2013-04-13 11:00:00,0.7235487103462219
2013-04-14 11:00:00,1.7354412078857422
2013-04-15 11:00:00,2.446063280105591
2013-04-16 11:00:00,2.8341875076293945
2013-04-17 11:00:00,2.841843843460083
2013-04-18 11:00:00,2.3880198001861572
2013-04-19 11:00:00,1.4281011819839478
2013-04-20 11:00:00,0.02147050015628338
2013-04-21 11:00:00,-1.6348953247070312
2013-04-22 11:00:00,-3.2298829555511475
2013-04-23 11:00:00,-4.412359714508057
2013-04-24 11:00:00,-4.886937618255615
2013-04-25 11:00:00,-4.496951103210449
2013-04-26 11:00:00,-3.27061128616333
2013-04-27 11:00:00,-1.4225316047668457
2013-04-28 11:00:00,0.6851193904876709
2013-04-29 11:00:00,2.6131021976470947
2013-04-30 11:00:00,3.9373667240142822
2013-05-01 11:00:00,4.355983257293701
2013-05-02 11:00:00,3.745779037475586
2013-05-03 11:00:00,2.252265691757202
2013-05-04 11:00:00,0.23358458280563354
2013-05-05 11:00:00,-1.827089548110962
2013-05-06 11:00:00,-3.4623866081237793
2013-05-07 11:00:00,-4.3564558029174805
2013-05-08 11:00:00,-4.421988010406494
2013-05-09 11:00:00,-3.7888264656066895
2013-05-10 11:00:00,-2.715265989303589
2013-05-11 11:00:00,-1.4696260690689087
2013-05-12 11:00:00,-0.2413574755191803
2013-05-13 11:00:00,0.8793639540672302
2013-05-14 11:00:00,1.8555976152420044
2013-05-15 11:00:00,2.631380319595337
2013-05-16 11:00:00,3.0869288444519043
